Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Swish,Bissell Brothers Brewing Company,10.95,4.48,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F99%2F43%2F432867.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/swish--432867"", ""Beer Page"")",United States,dark,white,
NN (wildflower),Pips Meadery,54.95,4.47,14%,Mead - Melomel,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433375.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/nn-wildflower--433375"", ""Beer Page"")",United States,black,white,
Westvleteren 12,Brouwerij De Sint-Sixtusabdij van Westvleteren,5.50,4.47,10.8%,Belgian Quadrupel,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433560.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/westvleteren-12--433560"", ""Beer Page"")",Belgium,black,yellow,
Will It Float #19,White Dog Brewery,7.95,4.46,6%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433573.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/will-it-float-19--433573"", ""Beer Page"")",Netherlands,white,black,
Infinitum,Brujos Brewing,24.95,4.46,10.3%,IPA - Triple New England / Hazy,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433020.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/infinitum--433020"", ""Beer Page"")",United States,blue,white,
Dark Forces (2024),Bottle Logic Brewing,39.95,4.46,17.3%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F99%2F43%2F432911.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/dark-forces-2024--432911"", ""Beer Page"")",United States,black,white,
Black Gold (2025),Central Waters Brewing Company,49.95,4.46,13%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433028.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/black-gold-2025--433028"", ""Beer Page"")",United States,black,white,
Gonuts,All My Friends Beer Co.,11.95,4.45,10%,IPA - Triple New England / Hazy,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6263451_4ffc9_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/gonuts--432768"", ""Beer Page"")",Canada,white,black,
"Apocrypha: Rum Jamaica & Fiji Barrel Aged Tobacco (2025, Golden Wax)",Hop Hooligans,11.95,4.45,15.5%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433190.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/apocrypha-rum-jamaica-fiji-barrel-aged-tobacco-2025-golden-wax--433190"", ""Beer Page"")",Romania,brown,red,
#SELECT (BBA 2025),Badlands Brewing Company,34.95,4.45,11.9%,Stout - Imperial / Double,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6278508_c720b_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/select-bba-2025--432833"", ""Beer Page"")",Canada,black,white,
Jasper With Peacharine,Fidens Brewing Co,19.95,4.45,7.8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433096.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/jasper-with-peacharine--433096"", ""Beer Page"")",United States,white,black,
Symphony By Rackhouse,LERVIG,18.95,4.45,14.8%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433246.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/symphony-by-rackhouse--433246"", ""Beer Page"")",Norway,red,white,
Stellar Stallion - Magnum,Nevel Wild Ales,89.95,4.44,6.2%,Wild Ale - Other,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433341.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/stellar-stallion-magnum--433341"", ""Beer Page"")",Netherlands,blue,white,
Cerberus,Mortalis Brewing Company,12.95,4.44,5.5%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433320.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/cerberus--433320"", ""Beer Page"")",United States,black,white,
Fou' Foune (2019),Brasserie Cantillon,59.95,4.43,6%,Lambic - Fruit,beer-images.beerizer.com%2Fraw%2F99%2F43%2F432922.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/fou-foune-2019--432922"", ""Beer Page"")",Belgium,white,black,
Café Deth (2024),Revolution Brewing Company,18.95,4.43,14.8%,Stout - Imperial / Double Coffee,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433420.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/cafe-deth-2024--433420"", ""Beer Page"")",United States,white,black,
Jasper With Nelson,Fidens Brewing Co,19.95,4.42,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433095.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/jasper-with-nelson--433095"", ""Beer Page"")",United States,white,green,
Temporalis #0032,Messorem,11.95,4.42,10%,IPA - Triple New England / Hazy,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433276.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/temporalis-0032--433276"", ""Beer Page"")",Canada,white,black,
Double Barrel Temple Of Minerva (2025),Jackie O's Brewery,23.95,4.42,14.1%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433195.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/double-barrel-temple-of-minerva-2025--433195"", ""Beer Page"")",United States,blue,white,
Temple Of Minerva (2025),Jackie O's Brewery,23.95,4.42,16%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433197.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/temple-of-minerva-2025--433197"", ""Beer Page"")",United States,black,white,
Fractional BA Kitchen Sink,3 Sons Brewing Co.,49.95,4.42,13%,Strong Ale - Other,beer-images.beerizer.com%2Fraw%2F99%2F43%2F432764.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/fractional-ba-kitchen-sink--432764"", ""Beer Page"")",United States,gold,black,
