Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Barrel-Aged Coconut Fionn 2020,Angry Chair Brewing,92.99,4.62,10.5%,Porter - Imperial / Double Coffee,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3908731_8d54e_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/barrel-aged-coconut-fionn-2020--384513"", ""Beer Page"")",United States,black,white,
Harrisonburg,Aslin Beer Company,77.99,4.62,16.5%,Stout - Imperial / Double,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3301792_3bfc8_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/harrisonburg--384595"", ""Beer Page"")",United States,purple,yellow,
Barrel-Aged Speedway Stout 2016,AleSmith Brewing Company,64.99,4.59,12%,Stout - Russian Imperial,untappd.akamaized.net%2Fsite%2Fbrewery_logos%2Fbrewery-2471_86d37.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/barrel-aged-speedway-stout-2016--384461"", ""Beer Page"")",United States,unknown,unknown,
El Rio,Aslin Beer Company,69.99,4.59,15%,Stout - Imperial / Double Pastry,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3116733_559d2_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/el-rio--384584"", ""Beer Page"")",United States,orange,white,
Beaumont,Aslin Beer Company,77.99,4.59,18%,Stout - Imperial / Double,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-2237421_4033e_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/beaumont--384562"", ""Beer Page"")",United States,blue,red,
Luling,Aslin Beer Company,77.99,4.58,16.5%,Stout - Imperial / Double,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3204613_c22b0_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/luling--384603"", ""Beer Page"")",United States,white,black,
Barrel-Aged Double Stuffed Fudge Bucket 2020,Angry Chair Brewing,92.99,4.57,10.5%,Stout - Imperial / Double Milk,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3714317_04dd2_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/barrel-aged-double-stuffed-fudge-bucket-2020--384514"", ""Beer Page"")",United States,white,black,
Barrel-Aged Vietnamese Coffee Speedway Stout 2017,AleSmith Brewing Company,54.99,4.56,13%,Stout - Russian Imperial,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-2044570_1c4b8_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/barrel-aged-vietnamese-coffee-speedway-stout-2017--384463"", ""Beer Page"")",United States,black,white,
S'Mortal Kombat 2020,3 Sons Brewing Co.,89.99,4.50,14.8%,Stout - Imperial / Double Pastry,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-2542706_c3c00_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/smortal-kombat-2020--384444"", ""Beer Page"")",United States,black,red,
Brewhemian Rhapsody,Aslin Beer Company,73.99,4.50,11.5%,Stout - Imperial / Double,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-4373964_925a6_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/brewhemian-rhapsody--384568"", ""Beer Page"")",United States,purple,white,
Buku Saigon,Aslin Beer Company,61.99,4.49,18%,Stout - Imperial / Double,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3229266_4ed73_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/buku-saigon--384574"", ""Beer Page"")",United States,red,white,
Barrel-Aged Speedway Stout 2015,AleSmith Brewing Company,64.99,4.49,12%,Stout - Imperial / Double Coffee,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-1166329_ee47b_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/barrel-aged-speedway-stout-2015--384460"", ""Beer Page"")",United States,white,black,
